timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.24,28063233.74,49,1.095,0,0.065,77728996,896349,41746293
0.452,133590369.41,149,1.038,0,0.338,249394244,4501869,30324607
0.654,311120972.51,273,1.543,0,0.398,307280842,12593293,29490835
0.855,362720887.52,357,1.819,0,0.441,340977435,21505733,30404199
1.056,364165844.71,251,0.928,1,0.182,469849286,30888821,83423868
1.256,377057237.79,257,0.799,1,0.133,558640437,39955309,28333676
1.461,326146632.1,261,1.908,1,0.212,237674995,48654333,23790888
1.666,370409843.94,187,0.978,2,0.211,332113146,58060565,32059040
1.875,352875455.26,101,1.137,4,0.13,154317520,67162749,30781222
2.133,213226720.42,120,1.468,4,0.139,142038147,74024821,40315545
2.356,175851166.31,120,0.897,4,0.119,232228316,78843765,24473239
2.556,189949033.15,151,0.7,4,0.053,374423974,83557005,43048648
2.757,208079102.15,105,0.914,5,0.099,199423965,88767005,104577777
2.958,206898375.96,109,0.64,5,0.059,295761702,94042069,35425076
3.16,205490366.58,76,0.592,6,0.044,222788021,99186821,45179407
3.36,210598144.63,54,0.669,7,0.057,140254708,104476397,38052558
3.562,207736129.62,45,0.775,9,0.065,100779120,109732741,41519713
3.763,213111809.89,59,0.622,9,0.07,164754359,115047941,37471349
3.965,211536202.37,70,0.702,9,0.055,173080042,120355269,44326530
4.165,204409660.97,60,0.76,10,0.148,137043706,125501029,54029850
4.368,204783633.96,36,3.738,13,2.048,16731712,130678317,9274844
4.569,210075095.73,69,0.742,13,0.201,161582749,135986517,42243111
4.77,216777740.91,63,0.76,14,0.158,143872252,141425237,41729106
4.971,216303368.36,47,0.608,16,0.09,134183117,146832125,46369723
5.171,223575469.99,79,1.102,17,0.089,124564791,152435901,80444444
5.371,224511358.5,79,0.625,17,0.037,219325584,158071517,59441707
5.572,220263544.51,66,0.744,18,0.139,153960865,163610141,39273584
5.775,221484711.53,79,0.661,18,0.071,207513832,169245757,78897435
