goodput_mbps,snd_cwnd,rtt_ms,loss,rttvar,pacing_rate,bytes_sent,delivery_rate,cwnd_x_loss,bdp_estimate,goodput_mbps_lag1,snd_cwnd_lag1,rtt_ms_lag1,loss_lag1,rttvar_lag1,pacing_rate_lag1,bytes_sent_lag1,delivery_rate_lag1,cwnd_x_loss_lag1,bdp_estimate_lag1,goodput_mbps_lag2,snd_cwnd_lag2,rtt_ms_lag2,loss_lag2,rttvar_lag2,pacing_rate_lag2,bytes_sent_lag2,delivery_rate_lag2,cwnd_x_loss_lag2,bdp_estimate_lag2,target_delta_cwnd,eta_sample_weight
81.12918386,740,107.124,2.0,1.838,10262350,35698837,9618292,1480.0,8690.882691818639,95.5551374,1040.0,105.304,0.0,0.417,14672035.0,32810583.0,12166355.0,0.0,10062.338188769601,99.07430825,1039.0,105.021,0.0,0.583,14697338.0,30216973.0,12103335.0,0.0,10404.88292672325,8.0,0.0
39.64815986,748,105.591,0.0,0.67,10523834,37536029,7962084,0.0,4186.48884777726,81.12918386,740.0,107.124,2.0,1.838,10262350.0,35698837.0,9618292.0,1480.0,8690.882691818639,95.5551374,1040.0,105.304,0.0,0.417,14672035.0,32810583.0,12166355.0,0.0,10062.338188769601,19.0,0.0
70.22112408,767,104.428,0.0,0.317,10911395,39422741,8831066,0.0,7333.0515454262395,39.64815986,748.0,105.591,0.0,0.67,10523834.0,37536029.0,7962084.0,0.0,4186.48884777726,81.12918386,740.0,107.124,2.0,1.838,10262350.0,35698837.0,9618292.0,1480.0,8690.882691818639,18.0,0.0
72.59341334,785,107.708,0.0,3.156,10827322,41351545,9116243,0.0,7818.891364024719,70.22112408,767.0,104.428,0.0,0.317,10911395.0,39422741.0,8831066.0,0.0,7333.0515454262395,39.64815986,748.0,105.591,0.0,0.67,10523834.0,37536029.0,7962084.0,0.0,4186.48884777726,19.0,0.0
73.63914314,804,104.941,0.0,0.992,11381779,43312537,8930750,0.0,7727.765320254741,72.59341334,785.0,107.708,0.0,3.156,10827322.0,41351545.0,9116243.0,0.0,7818.891364024719,70.22112408,767.0,104.428,0.0,0.317,10911395.0,39422741.0,8831066.0,0.0,7333.0515454262395,-226.0,0.0
48.62069586,578,105.403,3.0,0.441,8146548,45309431,6324075,1734.0,5124.76720573158,73.63914314,804.0,104.941,0.0,0.992,11381779.0,43312537.0,8930750.0,0.0,7727.765320254741,72.59341334,785.0,107.708,0.0,3.156,10827322.0,41351545.0,9116243.0,0.0,7818.891364024719,0.0,0.0
21.66032755,578,104.807,1.0,0.393,8192884,46293641,1617490,578.0,2270.15394953285,48.62069586,578.0,105.403,3.0,0.441,8146548.0,45309431.0,6324075.0,1734.0,5124.76720573158,73.63914314,804.0,104.941,0.0,0.992,11381779.0,43312537.0,8930750.0,0.0,7727.765320254741,1.0,0.0
51.20054461,579,105.033,0.0,0.174,8189410,47655441,6820349,0.0,5377.74680202213,21.66032755,578.0,104.807,1.0,0.393,8192884.0,46293641.0,1617490.0,578.0,2270.15394953285,48.62069586,578.0,105.403,3.0,0.441,8146548.0,45309431.0,6324075.0,1734.0,5124.76720573158,1.0,0.0
54.55401115,580,104.696,0.0,1.03,8229969,49097711,6819958,0.0,5711.5867513604,51.20054461,579.0,105.033,0.0,0.174,8189410.0,47655441.0,6820349.0,0.0,5377.74680202213,21.66032755,578.0,104.807,1.0,0.393,8192884.0,46293641.0,1617490.0,578.0,2270.15394953285,1.0,0.0
56.696682409999994,581,105.366,0.0,0.291,8191736,50532553,6837365,0.0,5973.902638812059,54.55401115,580.0,104.696,0.0,1.03,8229969.0,49097711.0,6819958.0,0.0,5711.5867513604,51.20054461,579.0,105.033,0.0,0.174,8189410.0,47655441.0,6820349.0,0.0,5377.74680202213,1.0,0.0
