timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.201,74469810.38,78,0.963,0,0.284,140667151,1871069,24345029
0.401,258381511.88,120,2.344,1,0.3,88955631,8514285,58011900
0.617,454722201.28,149,1.094,1,0.107,236602604,20803461,34951724
0.823,338963452.62,172,1.242,1,0.248,240536981,29347069,19796875
1.024,391654599.28,188,1.197,1,0.173,272906265,39465285,45315866
1.273,228099258.43,147,1.754,2,0.124,145625541,46502645,48351493
1.53,270715562.35,170,1.306,2,0.189,226050889,55234085,22362934
1.73,310629265.96,176,1.731,2,0.284,176581797,62757893,82954475
1.932,211515591.54,123,1.099,3,0.191,194317354,68098141,29414589
2.135,74916104.19,86,1.011,4,0.138,147771174,70000157,27753333
2.345,21219032.37,86,1.064,4,0.223,140428615,70556893,25363057
2.564,6008839.89,86,0.837,4,0.119,178348321,70721045,32406917
2.776,4918788.31,86,1.14,4,0.171,130995923,70851181,23597037
3.028,4187354.94,86,1.163,4,0.185,128406960,70983221,25579109
3.253,5777921.87,86,1.073,4,0.135,139186028,71146229,29252525
3.465,7450033.47,86,0.924,4,0.123,161659066,71343157,32146718
3.695,9098259.61,86,1.041,4,0.312,143530892,71605245,24345029
3.921,10435148.97,60,0.996,5,0.286,104622177,71899549,25464428
4.137,12194612.93,60,1.162,5,0.222,89663298,72228389,24706231
4.356,14157072.56,42,0.84,6,0.188,86815405,72621045,24941626
4.557,17190419.61,42,0.702,6,0.159,103829557,73047477,36557628
4.765,17382562.76,29,0.937,7,0.131,53735430,73505061,30271777
4.976,20094570.62,29,0.723,7,0.079,69648099,74030613,38884910
5.182,21569825.26,29,0.889,7,0.073,56682114,74586717,35235225
5.388,24100061.27,29,0.929,7,0.148,54212372,75210269,21294117
5.599,23742293.18,29,0.773,7,0.107,65114391,75831997,33786666
5.8,27483778.57,29,0.865,7,0.158,58229553,76521005,29522330
6.017,26572883.57,30,0.974,7,0.184,53505773,77241941,26909734
6.218,31156634.03,25,0.845,8,0.095,51370288,78028333,32909090
6.421,29535631.93,27,0.879,8,0.035,53365789,78781629,30232967
6.627,33214044.77,23,0.789,9,0.178,50628408,79633069,29126436
6.829,35089356.68,23,0.711,9,0.087,56169782,80517797,38357615
7.03,36519276.73,23,1.095,10,0.144,36468392,81435837,25027160
7.235,37211897.97,22,0.726,11,0.231,52636419,82386533,30839756
7.443,37740407.33,26,1.003,11,0.194,45036859,83369277,27410699
7.648,43240249.43,26,0.719,11,0.12,62768461,84482661,38749295
7.851,42757949.57,19,0.838,12,0.166,39367297,85565021,41496229
8.054,47756492.83,23,0.793,13,0.144,50349354,86776149,41371428
8.26,45682151.9,20,0.602,14,0.113,57715590,87957229,38357615
8.461,49723461.17,24,0.828,16,0.074,50342417,89201669,36473551
8.661,49893304.39,27,0.881,16,0.172,53206918,90446949,28181649
8.864,51432226.45,20,0.934,18,0.238,37187800,91758517,25204525
9.067,54445531.06,25,0.693,19,0.038,62672678,93134781,46235123
9.274,51970279.51,25,0.67,19,0.108,64799552,94476845,50261157
9.474,56293999.68,31,1.091,19,0.449,49338768,95887341,17587044
9.675,61351611.25,31,0.639,19,0.07,84181441,97427333,42410041
9.877,58215950.09,33,0.655,19,0.013,87426415,98900485,46353658
10.079,65159643.22,24,0.827,20,0.244,50418497,100539637,29661080
10.279,63913629.8,24,0.537,20,0.05,77658100,102145957,46212765
10.48,62730911.27,29,0.792,21,0.094,63584100,103718005,34752000
10.686,67650904.11,25,0.729,22,0.144,59557840,105455589,36827745
10.886,70640203.05,25,0.894,22,0.047,48563443,107223965,36365296
11.093,72294306.17,27,0.78,22,0.148,60089913,109091885,35356270
11.293,73144226.74,27,0.68,22,0.059,68916929,110926501,41210866
11.494,73151003.28,34,0.632,23,0.102,93459996,112762853,47039548
11.696,76706914.67,29,0.643,25,0.124,78321973,114695141,42026385
11.898,80215115.63,30,0.597,26,0.044,87261770,116727853,52447244
12.102,79462541.44,27,0.734,27,0.172,63917166,118759629,27320754
12.303,80996394.06,28,0.702,31,0.189,69219704,120790237,35276102
12.505,85748937.89,28,0.655,31,0.12,74264911,122953549,38884910
12.707,85548645.64,23,0.74,32,0.107,53970020,125115429,36858181
12.909,85926148.18,28,0.599,32,0.121,81206426,127278021,43165311
13.11,87167038.42,24,0.838,34,0.084,49727112,129473933,33786666
13.311,92694093.5,30,0.637,36,0.178,81801490,131800893,50595673
13.513,89423021.74,29,0.702,38,0.16,71768417,134094629,36616091
13.714,96815437.25,23,0.582,39,0.117,68564958,136487077,47645207
13.914,91686685.53,30,0.957,39,0.321,54420461,138812221,23924468
14.116,91849424.75,26,0.724,40,0.106,62324676,141107693,32713436
14.317,105853893.07,44,0.691,41,0.116,110583113,143761949,37654846
14.517,109865155.27,44,0.7,41,0.168,109220571,146513133,36913093
14.717,114071214.37,31,0.572,42,0.056,94088384,149365285,50595673
14.919,124922032.83,39,0.611,45,0.027,110752032,152511229,51546925
15.121,132443708.9,28,0.599,47,0.139,81155629,155852661,39853211
15.323,132312706.67,45,0.765,48,0.128,102094989,159227965,40409302
15.528,112495133.01,44,0.898,49,0.106,85067482,162144269,66644351
15.729,144474442.03,55,0.671,49,0.101,142293690,165716845,43364583
15.932,141235670.12,45,0.874,50,0.154,89375053,169321269,69615384
16.132,135965718.13,48,0.781,51,0.167,106689862,172695869,67065263
16.334,167489933.53,62,1.068,51,0.172,100812913,177003669,22984126
16.534,145169771.93,80,0.625,51,0.088,222101857,180593261,47190394
16.738,193211575.58,80,1.746,51,0.343,81042413,185507773,30212722
16.939,200912127.16,47,0.739,53,0.042,110379726,190522237,43308192
17.139,176013493.48,70,0.9,53,0.041,135015401,194977733,45445887
17.339,209288156.81,70,0.817,54,0.049,148762574,200252837,123080000
17.54,191735521.42,52,0.729,55,0.041,123859081,205038493,56933158
17.747,185806162.92,72,1.1,55,0.091,113682144,209882053,25297836
17.948,229677958.05,86,0.79,55,0.179,189096614,215588621,39872463
18.156,240860399.65,94,1.4,56,0.059,116594556,221914941,57427762
18.356,268911616.74,94,0.784,56,0.122,208334693,228532365,40173703
18.557,233156164.56,113,1.036,56,0.052,189434442,234555981,32448179
18.761,262575141.0,88,0.79,57,0.107,193371862,241147397,70634146
18.961,272532974.83,108,1.055,57,0.085,177835394,247897973,56432240
19.161,285288737.19,107,1.178,58,0.131,157829541,255146757,47080095
19.364,264391339.95,113,1.224,58,0.112,160415686,261858237,64902627
19.564,283328003.77,132,1.564,58,0.372,146593081,268870893,53659741
19.764,279929287.89,95,0.88,60,0.031,187581818,275940149,107572621
19.965,301212232.32,116,1.259,60,0.261,159985395,283452773,108899173
20.181,263182254.01,132,1.286,60,0.241,178267327,290659069,47346049
20.382,192807545.76,101,1.168,61,0.273,150142316,295480949,21813486
20.589,250561844.18,87,1.24,62,0.568,121899969,301931805,54160616
20.789,295279641.36,112,1.064,62,0.13,182840822,309360045,139279029
21.112,98262735.33,84,1.21,63,0.295,120614316,313205941,34975845
21.663,1468673.1,77,1.15,63,0.109,116305726,313399973,37237325
21.863,418072091.12,121,1.696,64,0.146,123922257,323890749,93836871
22.066,270816239.4,136,1.614,64,0.307,146369526,330797709,34400000
22.267,238738274.06,151,1.149,64,0.178,228228857,336792429,43273563
22.479,291720184.62,168,1.266,64,0.252,230559225,344421941,24862637
22.679,194897773.92,120,0.697,65,0.108,298834826,349239469,52068493
22.88,273029944.98,139,1.181,65,0.297,204358667,356275301,41738359
23.08,289482035.34,151,1.141,65,0.084,229878523,363508061,134906832
23.289,285107077.81,160,1.652,65,0.539,168226911,370833493,35484584
23.493,277984548.33,172,1.114,65,0.268,268102444,378043085,21868392
23.705,302845276.27,186,1.172,65,0.2,275644861,386118581,32242914
23.906,311833493.38,197,1.244,65,0.059,275028382,393870149,23812059
24.109,308173466.08,205,1.539,65,0.115,230089947,401767117,24409979
24.317,302396272.13,214,1.768,65,0.279,210246038,409710845,19664197
24.517,278971695.28,228,2.258,65,0.112,175452967,416381741,72543936
24.72,242789740.12,231,1.674,65,0.413,239722642,422803661,36040995
